station,lat,lon,value
0742,121.461154,31.197304,东安路
0743,121.463379,31.191311,龙华中路
0744,121.480035,31.177884,后滩
0745,121.492522,31.180277,长清路
0746,121.501124,31.184085,耀华路
0747,121.506916,31.1874,云台路
0748,121.516396,31.191286,高科西路
0749,121.530936,31.193539,杨高南路
0750,121.546398,31.193767,锦绣路
0751,121.556478,31.199531,芳华路
0752,121.563888,31.209599,龙阳路
0753,121.569074,31.218236,花木路
0820,121.518803,31.06706,沈杜公路
0821,121.51713,31.079655,联航路
0822,121.515133,31.089988,江月路
0823,121.512891,31.102197,浦江镇
0824,121.504377,31.124907,芦恒路
0825,121.496279,31.146696,凌兆新村
0826,121.487012,31.159351,东方体育中心
0827,121.50029,31.16671,杨思
0828,121.502631,31.176999,成山路
0829,121.501124,31.184085,耀华路
0830,121.500749,31.19134,中华艺术宫
0831,121.496122,31.207672,西藏南路
0832,121.492716,31.217413,陆家浜路
0833,121.489485,31.224674,老西门
0834,121.485885,31.233127,大世界
0835,121.481738,31.238695,人民广场
0836,121.478026,31.248251,曲阜路
0837,121.475411,31.259035,中兴路
0838,121.47525,31.2694,西藏北路
0839,121.485948,31.275811,虹口足球场
0840,121.497039,31.282122,曲阳路
0841,121.507823,31.280577,四平路
0842,121.516066,31.278923,鞍山新村
0843,121.524804,31.280818,江浦路
0844,121.534441,31.284573,黄兴路
0845,121.541374,31.294899,延吉中路
0846,121.539677,31.301934,黄兴公园
0847,121.538481,31.311023,翔殷路
0848,121.53857,31.321523,嫩江路
0849,121.538527,31.328516,市光路
0918,121.237677,30.990955,松江南站
0919,121.235829,31.006987,醉白池
0920,121.237126,31.022049,松江体育中心
0921,121.237244,31.03603,松江新城
0922,121.239238,31.059984,松江大学城
0923,121.237014,31.090393,洞泾
0924,121.236257,31.110609,佘山
0925,121.267259,31.123976,泗泾
0926,121.325378,31.143844,九亭
0927,121.344742,31.155955,中春路
0928,121.356047,31.161397,七宝
0929,121.375571,31.163862,星中路
0930,121.391169,31.172226,合川路
0931,121.403837,31.176123,漕河泾开发区
0932,121.424997,31.180998,桂林路
0933,121.43409,31.19119,宜山路
0934,121.443046,31.201727,徐家汇
0935,121.456221,31.205776,肇嘉浜路
0936,121.467219,31.208945,嘉善路
0937,121.475402,31.212073,打浦桥
0938,121.483036,31.215011,马当路
0939,121.492716,31.217413,陆家浜路
0940,121.504895,31.222656,小南门
0941,121.52289,31.236125,商城路
0942,121.532323,31.235423,世纪大道
0943,121.555022,31.233791,杨高中路
1018,121.361249,31.171619,航中路
1019,121.37097,31.175533,紫藤路
1020,121.37699,31.182886,龙柏新村
1041,121.32795,31.1991,虹桥火车站
1042,121.334373,31.19958,虹桥2号航站楼
1043,121.3539,31.197476,虹桥1号航站楼
1044,121.373597,31.196049,上海动物园
1045,121.386467,31.199878,龙溪路
1046,121.398444,31.205074,水城路
1047,121.410671,31.204634,伊犁路
1048,121.417552,31.202784,宋园路
1049,121.428754,31.202859,虹桥路
1050,121.440554,31.208208,交通大学
1051,121.450434,31.213992,上海图书馆
1052,121.464494,31.220991,陕西南路
1053,121.48116,31.222033,一大会址·新天地
1054,121.489485,31.224674,老西门
1055,121.4939,31.234005,豫园
1056,121.490893,31.24483,南京东路
1057,121.488739,31.250301,天潼路
1058,121.489997,31.257185,四川北路
1059,121.495112,31.264919,海伦路
1060,121.50058,31.273946,邮电新村
1061,121.508339,31.28089,四平路
1062,121.51305,31.288214,同济大学
1063,121.516743,31.295352,国权路
1064,121.521091,31.303618,五角场
1065,121.520633,31.308746,江湾体育场
1066,121.514701,31.318613,三门路
1067,121.513177,31.327743,殷高东路 
1068,121.513188,31.334451,新江湾城
1114,121.108972,31.304981,花桥
1115,121.123995,31.302118,光明路
1116,121.156828,31.294652,兆丰路
1117,121.168602,31.294335,安亭
1118,121.18725,31.291581,上海汽车城
1119,121.206771,31.29994,昌吉东路
1120,121.232625,31.337944,上海赛车场
1131,121.24401,31.397409,嘉定北
1132,121.234426,31.383195,嘉定西
1133,121.251801,31.351371,白银路
1134,121.26104,31.335744,嘉定新城
1135,121.28343,31.325402,马陆
1137,121.329748,31.303357,南翔
1138,121.355937,31.287647,桃浦新村
1139,121.371318,31.282825,武威路
1140,121.382499,31.277205,祁连山路
1141,121.396412,31.274596,李子园
1142,121.410075,31.268278,上海西站
1143,121.413834,31.256497,真如
1144,121.41754,31.248068,枫桥路
1145,121.4241,31.244107,曹杨路
1146,121.430091,31.236727,隆德路
1147,121.4371,31.226732,江苏路
1148,121.441394,31.208906,交通大学
1149,121.442314,31.201202,徐家汇
1150,121.448026,31.185365,上海游泳馆
1151,121.459229,31.179259,龙华
1152,121.464914,31.17265,云锦路
1153,121.466,31.166117,龙耀路
1154,121.487012,31.159351,东方体育中心
1155,121.517551,31.148698,三林
1156,121.529691,31.152393,三林东
1157,121.54554,31.157148,浦三路
1159,121.577365,31.164663,御桥
1160,121.599723,31.159221,罗山路
1321,121.326035,31.247368,金运路
1322,121.34169,31.2474,金沙江西路
1323,121.362183,31.248367,丰庄
1324,121.374143,31.243169,祁连山南路
1325,121.388887,31.237862,真北路
1327,121.418989,31.237245,金沙江路
1623,121.599723,31.159221,罗山路
